image_id,file_name,mean_score,category,score_range,split
496060,496060.jpg,3.9157088122605366,Nature,low_score,train
13552,13552.jpg,3.911602209944751,Travel,low_score,train
688020,688020.jpg,3.8967391304347827,Landscape,low_score,train
100436,100436.jpg,3.484076433121019,Architecture,low_score,train
199874,199874.jpg,3.982394366197183,Nature,low_score,train
532765,532765.jpg,3.914473684210526,Nature,low_score,train
27771,27771.jpg,3.8346456692913384,Sky,low_score,train
59475,59475.jpg,3.796153846153846,Sky,low_score,train
254842,254842.jpg,3.7873563218390807,Landscape,low_score,train
298429,298429.jpg,3.202127659574468,Architecture,low_score,train
311770,311770.jpg,3.9345794392523366,Nature,low_score,train
291453,291453.jpg,3.75975975975976,Landscape,low_score,train
260329,260329.jpg,3.2155172413793105,Nature,low_score,train
447061,447061.jpg,3.0642857142857145,Rural,low_score,train
261257,261257.jpg,3.4844961240310077,Nature,low_score,train
101602,101602.jpg,3.94375,Nature,low_score,train
30741,30741.jpg,3.930131004366812,Landscape,low_score,train
111417,111417.jpg,3.902877697841727,Rural,low_score,train
516388,516388.jpg,3.850220264317181,Nature,low_score,train
255373,255373.jpg,3.3322981366459627,Landscape,low_score,train
282357,282357.jpg,3.925373134328358,Rural,low_score,train
275950,275950.jpg,3.176,Rural,low_score,train
45328,45328.jpg,3.922374429223744,Nature,low_score,train
36747,36747.jpg,3.6666666666666665,Nature,low_score,train
305026,305026.jpg,3.5549450549450547,Transportation,low_score,train
249266,249266.jpg,2.4754098360655736,Nature,low_score,train
19771,19771.jpg,3.975845410628019,Travel,low_score,train
113600,113600.jpg,3.388392857142857,Nature,low_score,train
505880,505880.jpg,3.7417218543046356,Nature,low_score,train
306943,306943.jpg,3.983739837398374,Landscape,low_score,train
110033,110033.jpg,3.9310344827586206,Rural,low_score,train
161062,161062.jpg,3.65993265993266,Sky,low_score,train
364943,364943.jpg,3.7282229965156795,Nature,low_score,train
101533,101533.jpg,3.8509316770186337,Landscape,low_score,train
221667,221667.jpg,3.94910941475827,Landscape,low_score,train
447206,447206.jpg,3.1153846153846154,Landscape,low_score,train
362168,362168.jpg,3.4545454545454546,Architecture,low_score,train
139945,139945.jpg,3.513986013986014,Nature,low_score,train
541371,541371.jpg,3.9714285714285715,Nature,low_score,train
403329,403329.jpg,3.597560975609756,Landscape,low_score,train
59013,59013.jpg,3.9562841530054644,Nature,low_score,train
205595,205595.jpg,3.7604562737642584,Landscape,low_score,train
190993,190993.jpg,3.808664259927798,Landscape,low_score,train
244895,244895.jpg,3.669090909090909,Nature,low_score,train
